"citation.ID","n_potential_records","n_variables","variables_represented","sites_represented","n_pot_dup_sites","forestGEO_sites","GROA_study","tropical","prioritized_variable","review_priority_score","ready_to_rerun_and_send","notes"
"Maseyk_2008_ract",24,4,"biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine",1,0,0,0,24,12,60,NA,""
"Scott_1977_tioo",24,4,"biomass_ag, biomass_root, biomass, biomass_ag_foliage",1,0,0,0,24,12,60,NA,""
"van Breugel_2006_cdde",17,1,"biomass_ag",1,0,0,17,17,17,59.5,NA,""
"Monreal_2005_amfm",18,3,"biomass_root, biomass_ag_understory, biomass_ag",3,0,0,18,18,12,57,NA,""
"Fonseca_2011_cait",24,3,"biomass, deadwood, soil",1,0,0,0,24,8,56,NA,""
"Eaton_2006_wdsa",22,1,"deadwood_down",1,0,0,22,22,0,55,NA,""
"Shinjo_2006_cded",25,5,"R_het_litter, BNPP_root.turnover_fine, biomass_ag, biomass_root, soil",5,0,0,0,20,10,55,NA,""
"Wang_2016_doec",22,2,"biomass_ag, biomass_root",2,0,0,22,0,22,55,NA,""
"Ewel_1983_bafo",18,2,"biomass_ag, biomass_ag_understory",1,0,0,18,18,9,54,NA,""
"Harmand_2004_aabb",23,8,"biomass_ag_woody, deadwood, biomass_root_fine, biomass_root_coarse, biomass_root, biomass_ag_foliage, biomass_ag, biomass",1,0,0,0,23,8,54,NA,""
"Ruess_1996_cofr",42,7,"ANPP_woody, BNPP_root_fine, biomass_root_coarse, biomass_root_fine, biomass_ag, biomass, biomass_root",6,0,0,0,0,12,54,NA,""
"Cabral_2013_eeeb",15,1,"biomass_ag",1,0,0,15,15,15,52.5,NA,""
"Samuelson_2012_rbsc",26,3,"BNPP_root, biomass_root_coarse, biomass_root_fine",1,0,0,0,26,0,52,NA,""
"Curiel Yuste_2005_cnpp",42,14,"ANPP_woody_stem, ANPP_woody_branch, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root, biomass_ag_foliage, biomass_ag_woody, biomass_root_coarse, biomass_root_fine, biomass_ag, biomass, biomass_root, BNPP_root.turnover_fine",3,0,0,0,0,8,50,NA,""
"Ruark_1988_bnpp",40,8,"biomass_ag, biomass_root_fine, biomass_root_coarse, biomass_root, biomass, biomass_ag_foliage, deadwood_down, ANPP_woody_stem",1,0,0,0,0,10,50,NA,""
"Ryan_1996_ffwa",44,14,"ANPP_woody_branch, ANPP_woody_stem, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root, biomass_ag, biomass_ag_woody, biomass_ag_foliage, biomass_root_coarse, biomass_root_fine, biomass, biomass_root, BNPP_root.turnover_fine",2,0,0,0,0,6,50,NA,""
"Snedaker_1970_esot",20,2,"biomass_ag, biomass_ag_foliage",1,0,0,0,20,10,50,NA,""
"Lebrija-Trejos_2008_scar",14,1,"biomass_ag",1,0,0,14,14,14,49,NA,""
"Chan_2016_ttaf",16,2,"biomass_ag_understory, biomass_ag",1,0,0,16,16,8,48,NA,""
"Egunjobi_1979_band",20,5,"biomass_ag_foliage, biomass_ag_woody, biomass_ag, biomass_root, biomass",1,0,0,0,20,8,48,NA,""
"Ewel_1971_bcie",18,3,"biomass_ag, biomass_root, biomass",2,0,0,0,18,12,48,NA,""
"Gielen_2005_ncsi",24,4,"ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root",1,0,0,0,24,0,48,NA,""
"Uhl_1990_dfsa",17,4,"biomass_ag_foliage, deadwood, biomass_ag, deadwood_down",1,0,0,2,17,13,48,NA,""
"Kalaba_2013_fcsd",13,1,"biomass_ag",1,0,0,13,13,13,45.5,NA,""
"Jain_1998_bpas",15,1,"biomass_ag",3,0,0,0,15,15,45,NA,""
"Onyekwelu_2007_gbya",18,2,"biomass_ag, biomass_ag_foliage",1,0,0,0,18,9,45,NA,""
"Alban_1992_csil",35,3,"biomass, soil, deadwood",7,0,0,0,0,8,43,NA,""
"Hilje_2012_caot",12,1,"biomass_ag",1,0,0,12,12,12,42,NA,""
"Pena-Claros_2003_cifs",12,1,"biomass_ag",2,0,0,12,12,12,42,NA,""
"Sorrensen_2000_lslu",14,1,"biomass_ag",2,0,0,0,14,14,42,NA,""
"Ryan_2010_fcep",16,2,"biomass_ag, biomass_root_coarse",4,0,0,0,16,8,40,NA,""
"Williams-Linera_1983_banc",14,5,"biomass_ag, biomass_root, biomass, biomass_ag_foliage, biomass_ag_understory",3,0,0,6,14,8,39,NA,""
"Kennard_2002_sfsi",11,1,"biomass_ag",1,0,0,11,11,11,38.5,NA,""
"Szott_1994_bala",14,3,"biomass_ag, biomass_root, biomass",1,0,0,0,14,10,38,NA,""
"Zhang_2011_lbpd",12,3,"biomass_ag, biomass_ag_understory, biomass_root",1,0,0,12,12,8,38,NA,""
"Schongart_2010_banp",15,4,"biomass_ag_woody, ANPP_litterfall_1, biomass_root, biomass_ag",2,0,0,3,15,5,36.5,NA,""
"Almagro_2010_bcap",15,5,"BNPP_root, biomass, biomass_ag, biomass_root, soil",1,0,0,0,15,6,36,NA,""
"Campoe_2012_spoc",12,1,"biomass_ag",1,0,0,0,12,12,36,NA,""
"Cummings_2002_abas",12,2,"biomass_ag, deadwood",1,0,0,0,12,12,36,NA,""
"Epron_2013_ponp",18,3,"BNPP_root, biomass_root_coarse, biomass_root_fine",2,0,0,0,18,0,36,NA,""
"Irvine_2007_pcpa",24,2,"BNPP_root, biomass_ag",12,0,0,0,0,12,36,NA,""
"Moran_2000_eosf",12,2,"biomass_ag_understory, biomass_ag",1,0,0,12,12,6,36,NA,""
"Norby_2002_nppo",36,5,"ANPP_woody_stem, BNPP_root_coarse, BNPP_root_fine, BNPP_root, NPP_woody",1,0,0,0,0,0,36,NA,""
"Raharimalala_2012_qbos",12,2,"biomass_ag, biomass_ag_understory",1,0,0,12,12,6,36,NA,""
"China's Forest Editorial Committee_1999_cfvc",21,3,"biomass_ag, biomass, biomass_root",4,0,0,0,0,14,35,NA,""
"Ovington_1959_tgac",26,4,"biomass_ag, biomass_root_coarse, biomass_ag_foliage, biomass",1,0,0,0,0,9,35,NA,""
"Kazimirov_1997_eoea",17,1,"biomass_ag",17,0,0,0,0,17,34,NA,""
"Mukul_2016_tsfr",12,3,"biomass_ag, biomass_ag_understory, deadwood_down",1,0,0,12,12,4,34,NA,""
"Nykvist_1996_rosv",12,4,"biomass_ag, biomass_ag_foliage, biomass_ag_woody, biomass_ag_understory",1,0,0,6,12,7,34,NA,""
"Toky_1983_ssfs",14,3,"biomass_ag, biomass_ag_foliage, ANPP_woody_stem",1,0,0,0,14,5,33,NA,""
"Lagomarsino_2013_dois",16,2,"biomass_root_coarse, biomass_root_fine",1,0,0,0,16,0,32,NA,""
"Peichl_2006_aabe",24,6,"biomass_ag, deadwood_down, deadwood_standing, soil, biomass_root, biomass_ag_foliage",4,0,0,0,0,8,32,NA,""
"San Jose_2008_lcac",12,3,"biomass, biomass_ag, biomass_root",4,0,0,0,12,8,32,NA,""
"Mora_2014_tctd",9,1,"biomass_ag",1,0,0,9,9,9,31.5,NA,""
"Schedlbauer_2008_scdi",9,1,"biomass_ag",8,0,0,9,9,9,31.5,NA,""
"Alberti_2008_feca",26,5,"soil, biomass_ag, deadwood_standing, deadwood_down, biomass_ag_foliage",1,0,0,0,0,5,31,NA,""
"Tu_2013_nasd",13,4,"R_het_litter, biomass_ag, biomass_root, biomass_root_fine",1,0,0,0,13,5,31,NA,""
"Boone_1988_sasc",15,2,"biomass_ag, deadwood_down",1,0,0,14,0,8,30,NA,""
"Cromer_1993_rtni",12,2,"biomass_ag, biomass_ag_foliage",1,0,0,0,12,6,30,NA,""
"Folster_1976_atef",12,3,"biomass_ag, biomass_ag_woody, biomass_ag_foliage",2,0,0,0,12,6,30,NA,""
"Guimaraes_1993_ldce",10,1,"biomass_ag",1,0,0,0,10,10,30,NA,""
"Jepsen_2006_acsi",9,1,"biomass_ag",1,0,0,6,9,9,30,NA,""
"Johnson_2000_paba",10,1,"biomass_ag",2,0,0,0,10,10,30,NA,""
"Lugo_1990_acao",10,1,"biomass_ag",1,0,0,0,10,10,30,NA,""
"Post_1970_dpom",20,2,"biomass_ag, biomass_ag_foliage",1,0,0,0,0,10,30,NA,""
"Stocker_2013_ntfa",15,2,"ANPP_litterfall_1, ANPP_woody_branch",3,0,0,0,15,0,30,NA,NA
