C.pool,n_data_submitted,EFDB_entry_form,dates_sent_yyyymmdd,Full.Technical.Reference,n_in_EFDB,notes,excluded
Litter [L] (LIT),2,n_12_Thuille_2000_csas,20220608,"Thuille, A., Buchmann, N., & Schulze, E.-D. (2000). Carbon stocks and soil respiration rates during deforestation, grassland use and subsequent Norway spruce afforestation in the Southern Alps, Italy. Tree Physiology, 20(13), 849-857. doi:10.1093/treephys/20.13.849",,,
Soil organic matter - mineral soils [SOM mineral] (OMM),8,n_12_Thuille_2000_csas,20220608,"Thuille, A., Buchmann, N., & Schulze, E.-D. (2000). Carbon stocks and soil respiration rates during deforestation, grassland use and subsequent Norway spruce afforestation in the Southern Alps, Italy. Tree Physiology, 20(13), 849-857. doi:10.1093/treephys/20.13.849",,,
Classified otherwise (OTH),13,n_22_Chao_2009_atdq,20220608,"Chao, K.-J., Phillips, O. L., Baker, T. R., Peacock, J., Lopez-Gonzalez, G., Vasquez Martinez, R., ... Torres-Lezama, A. (2009). After trees die: quantities and determinants of necromass across Amazonia. Biogeosciences, 6(8), 1615-1626. doi:10.5194/bg-6-1615-2009",,,
Dead wood [DW] (DWD),9,n_22_Chao_2009_atdq,20220608,"Chao, K.-J., Phillips, O. L., Baker, T. R., Peacock, J., Lopez-Gonzalez, G., Vasquez Martinez, R., ... Torres-Lezama, A. (2009). After trees die: quantities and determinants of necromass across Amazonia. Biogeosciences, 6(8), 1615-1626. doi:10.5194/bg-6-1615-2009",,,
Above-ground biomass [AGB] (AGB),28,n_28_Lutz_2018_giol_CORRECTED,20220608,"Lutz, J. A., Furniss, T. J., Johnson, D. J., Davies, S. J., Allen, D., Alonso, A., ... Becker, K. M. L. (2018). Global importance of large-diameter trees. Global Ecology and Biogeography, 27(7), 849-864. doi:10.1111/geb.12747",,,
Above-ground biomass [AGB] (AGB),3,n_3_Thenkabail_2004_hiaa,20220608,"Thenkabail, P. S., Enclona, E. A., Ashton, M. S., Legg, C., & De Dieu, M. J. (2004). Hyperion, IKONOS, ALI, and ETM+ sensors in the study of African rainforests. Remote Sensing of Environment, 90(1), 23-43. doi:10.1016/j.rse.2003.11.018",,,
Above-ground biomass [AGB] (AGB),17,n_32_Broadbent_2014_isas,20220608,"Broadbent, E. N., Almeyda Zambrano, A. M., Asner, G. P., Soriano, M., Field, C. B., de Souza, H. R., ... Giles, L. (2014). Integrating Stand and Soil Properties to Understand Foliar Nutrient Dynamics during Forest Succession Following Slash-and-Burn Agriculture in the Bolivian Amazon. PLoS ONE, 9(2), e86042. doi:10.1371/journal.pone.0086042",,,
Soil organic matter - mineral soils [SOM mineral] (OMM),15,n_32_Broadbent_2014_isas,20220608,"Broadbent, E. N., Almeyda Zambrano, A. M., Asner, G. P., Soriano, M., Field, C. B., de Souza, H. R., ... Giles, L. (2014). Integrating Stand and Soil Properties to Understand Foliar Nutrient Dynamics during Forest Succession Following Slash-and-Burn Agriculture in the Bolivian Amazon. PLoS ONE, 9(2), e86042. doi:10.1371/journal.pone.0086042",,,
Above-ground biomass [AGB] (AGB),18,n_36_Wirth_1999_abas_CORRECTED,20220608,"Wirth, C., Schulze, E.-D., Schulze, W., von Stunzner-Karbe, D., Ziegler, W., Miljukova, I. M., ... Vygodskaya, N. N. (1999). Above-ground biomass and structure of pristine Siberian Scots pine forests as controlled by competition and fire. Oecologia, 121(1), 66-80. doi:10.1007/s004420050908",,,
Classified otherwise (OTH),18,n_36_Wirth_1999_abas_CORRECTED,20220608,"Wirth, C., Schulze, E.-D., Schulze, W., von Stunzner-Karbe, D., Ziegler, W., Miljukova, I. M., ... Vygodskaya, N. N. (1999). Above-ground biomass and structure of pristine Siberian Scots pine forests as controlled by competition and fire. Oecologia, 121(1), 66-80. doi:10.1007/s004420050908",,,
Below-ground biomass [BGB] (BGB),2,n_6_Mall_1991_sobl,20220608,"Mall, L. P., V. P. Singh & A. Garge, 1991. Study of biomass, litterfall, litter decomposition and soil respiration in monogeneric and mixed mangrove forests of Andaman Islands. Trop. Ecol. 32: 144Ð152.",,,
Classified otherwise (OTH),4,n_6_Mall_1991_sobl,20220608,"Mall, L. P., V. P. Singh & A. Garge, 1991. Study of biomass, litterfall, litter decomposition and soil respiration in monogeneric and mixed mangrove forests of Andaman Islands. Trop. Ecol. 32: 144Ð152.",,,
